"NSFTV.ID","PSA_19_2014","PSA_21_2014","PSA_22_2014","PSA_25_2014","PSA_26_2014","PSA_27_2014","PSA_28_2014","PSA_29_2014","PSA_30_2014","PSA_31_2014","PSA_32_2014","PSA_33_2014","PSA_34_2014","PSA_35_2014","PSA_36_2014","PSA_37_2014","PSA_38_2014","PSA_39_2014","PSA_40_2014","PSA_41_2014"
"NSFTV_171",67226.03728,97772.06169,112985.5965,146030.746,167396.0853,193244.1276,225084.5282,257040.9557,274609.3449,323828.814,347354.2734,381148.0359,408395.1877,451601.2601,491171.3642,531110.1203,548683.8285,586030.9273,615556.1311,652292.8039
"NSFTV_172",45822.96878,65314.60965,75106.94278,101071.2552,112709.9398,130727.3543,152472.1763,167919.8291,197077.3368,235051.8839,257668.6396,277958.7581,312043.2739,335007.4229,371686.9555,410197.5218,417553.2554,445893.0118,471287.8545,505214.6123
"NSFTV_173",35472.03728,48315.56169,56814.92979,75684.91262,86620.58528,99006.1276,115788.5282,130800.789,147222.0116,178280.0303,183941.4401,209747.0359,235557.6877,263437.2601,294592.0308,330111.9536,370845.6618,399988.7606,427357.6311,445392.4744
"NSFTV_174",39800.53728,52712.39503,61184.09646,81741.41262,93957.25195,104685.2943,120228.8615,137747.4557,162416.8449,183715.314,207721.7734,235481.8692,262712.3544,292086.0934,324317.0308,365579.7869,395437.9951,427709.7606,443658.6311,495443.8039
"NSFTV_175",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NSFTV_176",28030.20394,38032.89503,41747.26313,52347.07928,61479.41862,71857.29426,86473.36151,100323.8658,114573.3449,137659.5303,151516.9401,169041.7025,195991.3544,215375.9268,240619.5308,268014.6203,292067.8285,321183.4273,343332.6311,372742.1372
"NSFTV_177",31784.53728,44797.06169,51315.59646,67313.07928,78459.25195,89622.29426,105108.5282,118101.1223,133073.0116,167663.0303,165479.9401,187446.3692,210748.5211,232214.7601,254911.0308,276325.2869,302061.8285,327185.4273,354419.6311,327862.4744
"NSFTV_178",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NSFTV_179",45606.37061,62693.39503,75047.09646,97861.57928,110015.4186,127925.9609,150323.0282,170714.9557,187313.8449,204650.0303,229118.9401,257371.7025,285559.5211,314859.7601,335107.3642,369456.2869,383624.8285,410607.4273,440410.9644,475493.6372
"NSFTV_18",59801.03728,79265.39503,87634.76313,115770.4126,134517.2519,152126.7943,175230.3615,199672.1223,226402.0116,265257.0303,275909.9401,309034.5359,345512.1877,387070.4268,426062.3642,467934.6203,507598.8285,521303.4273,585769.7978,628336.3039
"NSFTV_180",24899.03728,32352.06169,35969.92979,49895.41262,57644.58528,68632.64175,79026.19484,91988.45567,98265.84495,103062.0303,119290.6067,134080.7025,148801.1877,164271.2601,181730.0308,204451.2869,221915.4951,244429.594,268758.4644,286243.6372
"NSFTV_181",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
